# waypointsExp.dat
# This file contains the spawn point definitions for experiments
# Spawn points are defined to be waypoints
# Each spawn point is defined by the following 7 parameters:
# code, name (N/A), lat [deg], lon [deg], airport (N/A), type (RNAV), country code (INT)

@0, N/A, 4.1638590354, -4.1638590354, N/A, RNAV, INT
@3Y, N/A, 0.666217445665, 4.1638590354, N/A, RNAV, INT

@3Z, N/A, 0.582940264957, 4.1638590354, N/A, RNAV, INT

@40, N/A, 0.499663084248, 4.1638590354, N/A, RNAV, INT

@41, N/A, 0.41638590354, 4.1638590354, N/A, RNAV, INT

@42, N/A, 0.333108722832, 4.1638590354, N/A, RNAV, INT

@43, N/A, 0.249831542124, 4.1638590354, N/A, RNAV, INT

@44, N/A, 0.166554361416, 4.1638590354, N/A, RNAV, INT

@45, N/A, 0.0832771807081, 4.1638590354, N/A, RNAV, INT

@46, N/A, 0.0, 4.1638590354, N/A, RNAV, INT

@47, N/A, -0.0832771807081, 4.1638590354, N/A, RNAV, INT

@48, N/A, -0.166554361416, 4.1638590354, N/A, RNAV, INT

@49, N/A, -0.249831542124, 4.1638590354, N/A, RNAV, INT

@4A, N/A, -0.333108722832, 4.1638590354, N/A, RNAV, INT

@4B, N/A, -0.41638590354, 4.1638590354, N/A, RNAV, INT

@4C, N/A, -0.499663084248, 4.1638590354, N/A, RNAV, INT

@4D, N/A, -0.582940264957, 4.1638590354, N/A, RNAV, INT

@4E, N/A, -0.666217445665, 4.1638590354, N/A, RNAV, INT

@4F, N/A, -0.749494626373, 4.1638590354, N/A, RNAV, INT

@4G, N/A, -0.832771807081, 4.1638590354, N/A, RNAV, INT

@4H, N/A, -0.916048987789, 4.1638590354, N/A, RNAV, INT

@4I, N/A, -0.999326168497, 4.1638590354, N/A, RNAV, INT

@4J, N/A, -1.0826033492, 4.1638590354, N/A, RNAV, INT

@4K, N/A, -1.16588052991, 4.1638590354, N/A, RNAV, INT

@4L, N/A, -1.24915771062, 4.1638590354, N/A, RNAV, INT

@4M, N/A, -1.33243489133, 4.1638590354, N/A, RNAV, INT

@4N, N/A, -1.41571207204, 4.1638590354, N/A, RNAV, INT

@4O, N/A, -1.49898925275, 4.1638590354, N/A, RNAV, INT

@4P, N/A, -1.58226643345, 4.1638590354, N/A, RNAV, INT

@4Q, N/A, -1.66554361416, 4.1638590354, N/A, RNAV, INT

@4R, N/A, -1.74882079487, 4.1638590354, N/A, RNAV, INT

@4S, N/A, -1.83209797558, 4.1638590354, N/A, RNAV, INT

@4T, N/A, -1.91537515629, 4.1638590354, N/A, RNAV, INT

@4U, N/A, -1.99865233699, 4.1638590354, N/A, RNAV, INT

@4V, N/A, -2.0819295177, 4.1638590354, N/A, RNAV, INT

@4W, N/A, -2.16520669841, 4.1638590354, N/A, RNAV, INT

@4X, N/A, -2.24848387912, 4.1638590354, N/A, RNAV, INT

@4Y, N/A, -2.33176105983, 4.1638590354, N/A, RNAV, INT

@4Z, N/A, -2.41503824053, 4.1638590354, N/A, RNAV, INT

@50, N/A, -2.49831542124, 4.1638590354, N/A, RNAV, INT

@51, N/A, -2.58159260195, 4.1638590354, N/A, RNAV, INT

@52, N/A, -2.66486978266, 4.1638590354, N/A, RNAV, INT

@53, N/A, -2.74814696337, 4.1638590354, N/A, RNAV, INT

@54, N/A, -2.83142414407, 4.1638590354, N/A, RNAV, INT

@55, N/A, -2.91470132478, 4.1638590354, N/A, RNAV, INT

@56, N/A, -2.99797850549, 4.1638590354, N/A, RNAV, INT

@57, N/A, -3.0812556862, 4.1638590354, N/A, RNAV, INT

@58, N/A, -3.16453286691, 4.1638590354, N/A, RNAV, INT

@59, N/A, -3.24781004761, 4.1638590354, N/A, RNAV, INT

@5A, N/A, -3.33108722832, 4.1638590354, N/A, RNAV, INT

@5B, N/A, -3.41436440903, 4.1638590354, N/A, RNAV, INT

@5C, N/A, -3.49764158974, 4.1638590354, N/A, RNAV, INT

@5D, N/A, -3.58091877045, 4.1638590354, N/A, RNAV, INT

@5E, N/A, -3.66419595116, 4.1638590354, N/A, RNAV, INT

@5F, N/A, -3.74747313186, 4.1638590354, N/A, RNAV, INT

@5G, N/A, -3.83075031257, 4.1638590354, N/A, RNAV, INT

@5H, N/A, -3.91402749328, 4.1638590354, N/A, RNAV, INT

@5I, N/A, -3.99730467399, 4.1638590354, N/A, RNAV, INT

@5J, N/A, -4.0805818547, 4.1638590354, N/A, RNAV, INT

@5K, N/A, -4.1638590354, 4.1638590354, N/A, RNAV, INT

@5L, N/A, -4.1638590354, 4.0805818547, N/A, RNAV, INT

@5M, N/A, -4.1638590354, 3.99730467399, N/A, RNAV, INT

@5N, N/A, -4.1638590354, 3.91402749328, N/A, RNAV, INT

@5O, N/A, -4.1638590354, 3.83075031257, N/A, RNAV, INT

@5P, N/A, -4.1638590354, 3.74747313186, N/A, RNAV, INT

@5Q, N/A, -4.1638590354, 3.66419595116, N/A, RNAV, INT

@5R, N/A, -4.1638590354, 3.58091877045, N/A, RNAV, INT

@5S, N/A, -4.1638590354, 3.49764158974, N/A, RNAV, INT

@5T, N/A, -4.1638590354, 3.41436440903, N/A, RNAV, INT

@5U, N/A, -4.1638590354, 3.33108722832, N/A, RNAV, INT

@5V, N/A, -4.1638590354, 3.24781004761, N/A, RNAV, INT

@5W, N/A, -4.1638590354, 3.16453286691, N/A, RNAV, INT

@5X, N/A, -4.1638590354, 3.0812556862, N/A, RNAV, INT

@5Y, N/A, -4.1638590354, 2.99797850549, N/A, RNAV, INT

@5Z, N/A, -4.1638590354, 2.91470132478, N/A, RNAV, INT

@60, N/A, -4.1638590354, 2.83142414407, N/A, RNAV, INT

@61, N/A, -4.1638590354, 2.74814696337, N/A, RNAV, INT

@62, N/A, -4.1638590354, 2.66486978266, N/A, RNAV, INT

@63, N/A, -4.1638590354, 2.58159260195, N/A, RNAV, INT

@64, N/A, -4.1638590354, 2.49831542124, N/A, RNAV, INT

@65, N/A, -4.1638590354, 2.41503824053, N/A, RNAV, INT

@66, N/A, -4.1638590354, 2.33176105983, N/A, RNAV, INT

@67, N/A, -4.1638590354, 2.24848387912, N/A, RNAV, INT

@68, N/A, -4.1638590354, 2.16520669841, N/A, RNAV, INT

@69, N/A, -4.1638590354, 2.0819295177, N/A, RNAV, INT

